Unnamed: 0,stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed
186,4.2,28,18% off,39990,SAMSUNG,5,7,1200
187,4.3,86950,21% off,28990,IFB,5,7,1200
188,4.2,22155,20% off,14990,Whirlpool,5,7,740
189,4.3,14730,28% off,14990,Voltas Beko,5,12,1350
190,4.4,27218,23% off,15990,Whirlpool,5,10,1400
191,4.3,14730,36% off,7990,Voltas Beko,5,6.5,1350
192,4.4,1197,26% off,16125,Whirlpool,5,11,1400
193,4.3,86950,23% off,47990,IFB,5,10,1400
194,4.4,40687,31% off,9990,LG,5,6,1300
195,4.1,524,58% off,7690,FOXSKY,5,8.5,1300
196,4.3,14860,11% off,15775,Whirlpool,5,6,740
197,4.4,5476,26% off,24990,LG,5,6.5,1000
198,4.3,8993,20% off,19190,SAMSUNG,5,7,700
199,4.2,6171,25% off,13290,Godrej,5,6.5,720
200,4.3,70731,16% off,17490,LG,5,7,700
201,4.4,4496,35% off,34990,LG,5,9,1200
202,4.2,1485,32% off,18150,Whirlpool,5,7.5,740
203,3.8,66,47% off,20990,TCL,5,7.5,1400
204,4.5,75,30% off,6990,Midea,5,6.5,1300
205,4.2,1790,42% off,10990,MarQ by Flipkart,5,6.5,700
206,4.1,524,56% off,7199,FOXSKY,5,7.5,1300
207,4.2,2527,39% off,30990,BOSCH,5,7,1200
208,4.3,1165,35% off,11490,Lloyd,5,8,1300
209,4.3,8264,40% off,9490,MOTOROLA,5,8,1350
210,4.3,2548,36% off,11990,Haier,5,9,1300
211,4.3,86950,25% off,44690,IFB,5,9,1400
212,4.2,1170,37% off,37990,SAMSUNG,5,9,1400
213,4.4,27218,22% off,16990,Whirlpool,5,11,1400
