",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"95,4.3,""14,730 Ratings "",30% off,""â‚¹16,999"",Voltas Beko,5,14 kg,1350 rpm"
"96,4.2,""1,008 Ratings "",63% off,""â‚¹6,989"",InnoQ,5,7.5 kg,1500 rpm"
"97,4.3,""79,969 Ratings "",28% off,""â‚¹23,334"",SAMSUNG,5,10 kg,700 rpm"
"98,4.3,""32,615 Ratings "",50% off,""â‚¹17,490"",Haier,5,8 kg,800 RPM"
"99,4.2,""1,008 Ratings "",65% off,""â‚¹8,590"",InnoQ,5,9.5 kg,1500 rpm"
"100,4.2,""1,008 Ratings "",60% off,""â‚¹9,790"",InnoQ,5,10 kg,1500 rpm"
"101,4.4,""39,827 Ratings "",8% off,""â‚¹9,090"",SAMSUNG,5,6 kg,1300 rpm"
"102,4.2,""1,170 Ratings "",37% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"103,4.3,""79,969 Ratings "",16% off,""â‚¹30,990"",SAMSUNG,5,10 kg,700 rpm"
"104,4.2,""76,447 Ratings "",47% off,""â‚¹9,990"",realme TechLife,5,8.5 kg,1400 RPM"
"105,,,50% off,""â‚¹6,968"",IAIR,5,6.5 kg,1350 RPM"
"106,4.2,""1,008 Ratings "",65% off,""â‚¹8,590"",InnoQ,5,9.5 kg,1500 rpm"
"107,4.4,""27,218 Ratings "",22% off,""â‚¹16,990"",Whirlpool,5,11 kg,1400 RPM"
"108,4.3,""14,730 Ratings "",46% off,""â‚¹12,490"",Voltas Beko,5,9 kg,1350 rpm"
"109,4.2,""1,008 Ratings "",60% off,""â‚¹9,790"",InnoQ,5,10 kg,1500 rpm"
"110,4.3,""14,730 Ratings "",45% off,""â‚¹10,290"",Voltas Beko,5,8 kg,1350 rpm"
"111,4.3,""12,467 Ratings "",17% off,""â‚¹13,790"",Panasonic,4,6 kg,680 rpm"
"112,4.2,""2,527 Ratings "",36% off,""â‚¹35,990"",BOSCH,5,9 kg,1200 rpm"
"113,4.3,""79,969 Ratings "",17% off,""â‚¹25,190"",SAMSUNG,5,8 kg,700 rpm"
"114,4.2,""5,235 Ratings "",25% off,""â‚¹15,999"",Thomson,5,11 kg,900 rpm"
